,class_id,classes
0,0,shrubland
1,1,build_up
2,2,baresoil
3,3,natural_grassland
4,4,sparse_vegetation
5,5,wetland
6,6,water
7,7,bare_rock
8,8,agricultural_grassland
9,9,ryegrass
10,10,lupin
11,11,wheat
12,12,oatmeal
13,13,sorghum
14,14,rice
15,15,maize
16,16,potato
17,17,barley
18,18,tomato
19,19,orchards
20,20,olive_trees
21,21,vineyard
22,22,sobreiro_corkoak
23,23,eucalyptus
24,24,other_broadleaf
25,25,azinheiro_holmoak
26,26,pbravo_maritimepine
27,27,pmanso_stonepine
28,28,openpbravo_openmaritimepine
29,29,other_coniferous
30,30,burnt_areas
