,models,params,mean_fit_time,mean_test_accuracy,mean_test_f1_macro,mean_test_geometric_mean_macro
24,DimReduct|RFC,"{'DimReduct__n_features': 241, 'RFC__random_state': 2357136044}",382.1609966,0.913678036,0.616208083,0.743844406
23,DimReduct|RFC,"{'DimReduct__n_features': 231, 'RFC__random_state': 2357136044}",341.793345,0.913428095,0.61538815,0.743175044
29,DimReduct|RFC,"{'DimReduct__n_features': 291, 'RFC__random_state': 2357136044}",373.0074966,0.913358102,0.616059776,0.743316351
31,DimReduct|RFC,"{'DimReduct__n_features': 311, 'RFC__random_state': 2357136044}",339.7480603,0.913358102,0.616059776,0.743316351
30,DimReduct|RFC,"{'DimReduct__n_features': 301, 'RFC__random_state': 2357136044}",360.2739472,0.913358102,0.616059776,0.743316351
26,DimReduct|RFC,"{'DimReduct__n_features': 261, 'RFC__random_state': 2357136044}",430.2562663,0.913218117,0.615655693,0.743504208
25,DimReduct|RFC,"{'DimReduct__n_features': 251, 'RFC__random_state': 2357136044}",422.6872322,0.913117929,0.614361778,0.742629347
27,DimReduct|RFC,"{'DimReduct__n_features': 271, 'RFC__random_state': 2357136044}",404.9658116,0.913028133,0.61260398,0.741785331
28,DimReduct|RFC,"{'DimReduct__n_features': 281, 'RFC__random_state': 2357136044}",451.4531313,0.912978102,0.612754921,0.741940971
22,DimReduct|RFC,"{'DimReduct__n_features': 221, 'RFC__random_state': 2357136044}",313.6894593,0.912858183,0.612257095,0.741415183
21,DimReduct|RFC,"{'DimReduct__n_features': 211, 'RFC__random_state': 2357136044}",317.592485,0.912548046,0.613015559,0.741293831
20,DimReduct|RFC,"{'DimReduct__n_features': 201, 'RFC__random_state': 2357136044}",311.1070972,0.912478126,0.613331279,0.74079655
19,DimReduct|RFC,"{'DimReduct__n_features': 191, 'RFC__random_state': 2357136044}",292.3312676,0.912238173,0.611416111,0.740008927
18,DimReduct|RFC,"{'DimReduct__n_features': 181, 'RFC__random_state': 2357136044}",284.770685,0.912208181,0.612133428,0.74084469
12,DimReduct|RFC,"{'DimReduct__n_features': 121, 'RFC__random_state': 2357136044}",233.5973334,0.911638271,0.612830248,0.741283282
17,DimReduct|RFC,"{'DimReduct__n_features': 171, 'RFC__random_state': 2357136044}",302.5679015,0.911608013,0.608695716,0.739329039
13,DimReduct|RFC,"{'DimReduct__n_features': 131, 'RFC__random_state': 2357136044}",248.287439,0.911528103,0.612404093,0.740748547
15,DimReduct|RFC,"{'DimReduct__n_features': 151, 'RFC__random_state': 2357136044}",296.3137491,0.91139813,0.611807923,0.740225027
14,DimReduct|RFC,"{'DimReduct__n_features': 141, 'RFC__random_state': 2357136044}",275.7296183,0.911358035,0.609217446,0.738526176
16,DimReduct|RFC,"{'DimReduct__n_features': 161, 'RFC__random_state': 2357136044}",267.0379333,0.911298157,0.610164977,0.739400699
10,DimReduct|RFC,"{'DimReduct__n_features': 101, 'RFC__random_state': 2357136044}",244.2042229,0.910758132,0.609235617,0.738990324
11,DimReduct|RFC,"{'DimReduct__n_features': 111, 'RFC__random_state': 2357136044}",221.8935588,0.910758034,0.61130056,0.739942714
9,DimReduct|RFC,"{'DimReduct__n_features': 91, 'RFC__random_state': 2357136044}",198.1719612,0.910358093,0.60763431,0.737429671
8,DimReduct|RFC,"{'DimReduct__n_features': 81, 'RFC__random_state': 2357136044}",195.2853155,0.909187993,0.606215623,0.735989638
7,DimReduct|RFC,"{'DimReduct__n_features': 71, 'RFC__random_state': 2357136044}",169.9703814,0.907948049,0.600122614,0.732142407
6,DimReduct|RFC,"{'DimReduct__n_features': 61, 'RFC__random_state': 2357136044}",150.8664292,0.90655795,0.594743189,0.729249905
5,DimReduct|RFC,"{'DimReduct__n_features': 51, 'RFC__random_state': 2357136044}",147.1491792,0.903877856,0.590507737,0.725757647
4,DimReduct|RFC,"{'DimReduct__n_features': 41, 'RFC__random_state': 2357136044}",126.562083,0.901507864,0.583658326,0.722050349
3,DimReduct|RFC,"{'DimReduct__n_features': 31, 'RFC__random_state': 2357136044}",103.9607526,0.899007598,0.577687101,0.717430106
2,DimReduct|RFC,"{'DimReduct__n_features': 21, 'RFC__random_state': 2357136044}",85.8022706,0.886687295,0.537188374,0.689903789
1,DimReduct|RFC,"{'DimReduct__n_features': 11, 'RFC__random_state': 2357136044}",62.37358222,0.866756946,0.485954489,0.655211011
0,DimReduct|RFC,"{'DimReduct__n_features': 1, 'RFC__random_state': 2357136044}",15.05868797,0.560591201,0.059014078,0.239484374
